TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,"VARIATION 1 TYPE","VARIATION 1 NAME","VARIATION 1 VALUES","VARIATION 2 TYPE","VARIATION 2 NAME","VARIATION 2 VALUES",SKU
"Gonk Smelling Pink Flowers | Wooden Ornament with Landscape with Flowers | Handcrafted Pyrography Art","Two designs in one! This hand-burned wooden ornament features a gentle Scandinavian gonk / gnome smelling a vibrant pink flower while bees buzz, on one side, and a delicate landscape with small flowers on the other. Crafted by hand using sustainable, reclaimed wood.

🌳 Made from locally foraged, reclaimed wood, carefully sketched, hand-burned and lightly hand-painted before being finished with natural beeswax. This piece is as eco-friendly as it is overflowing with whimsy.

🧙 Gonk Folklore – Inspired by Scandinavian and Nordic traditions, gonks or tomte/nisse, are said to be mischievous but kind-hearted creatures who bring protection and good fortune to homes. Often linked to woodland spirits and the changing seasons, they make perfect companions for nature lovers.

🎁 Perfect for gifting – Whether for Mother’s Day, birthdays, or a special keepsake for a loved one, this piece makes a meaningful, sustainable gift. Ideal for nature lovers, gonk fans, and those who appreciate handcrafted décor.

📏 Size & Details:

Approx. 4 cm diameter
Two-sided design (gonk & landscape with flowers)
Finished with natural beeswax
Twine hanger attached for easy display

🚚 Shipping & Packaging:
Wrapped with care using eco-friendly materials as much as possible and shipped free using Tracked 48.
🛒 One available – once it’s gone, it’s gone!",5.95,GBP,1,"gnome_lover_gift,Mothers_Day_Gift,Wood_Slice_Ornament,Rustic_Decor,Sustainable_Craft,Eco_friendly_Gift,Gnome_Art,Cute_ornament,wooden_ornament,Mothers_Day_Ornament,Spring_Ornament,Gnome_Ornament,nature_lover_gift",,https://i.etsystatic.com/54896591/r/il/f81585/6957751902/il_fullxfull.6957751902_7xux.jpg,https://i.etsystatic.com/54896591/r/il/9e11d0/6957728920/il_fullxfull.6957728920_nvh0.jpg,,,,,,,,,,,,,,,BB-PWS-007
"Gonk Smelling Flowers Wooden Ornament with Landscape with Flowers | Handcrafted Pyrography Art","Two designs in one! This hand-burned wooden ornament features a gentle Scandinavian gonk / gnome with it's head shoved inside a yellow flower on one side and a delicate landscape with small flowers on the other. Crafted by hand using sustainable, reclaimed wood.

🌳 Made from locally foraged, reclaimed wood, carefully sketched, hand-burned and lightly hand-painted before being finished with natural beeswax. This wooden ornament is as eco-friendly as it is beautiful.

🧙 Gonk Folklore – Inspired by Scandinavian and Nordic traditions, gonks or tomte/nisse, are said to be mischievous but kind-hearted creatures who bring protection and good fortune to homes. Often linked to woodland spirits and the changing seasons, they make perfect companions for nature lovers.

🎁 Perfect for gifting – Whether for Mother’s Day, birthdays, or a special keepsake for a loved one, this piece makes a meaningful, sustainable gift. Ideal for nature lovers, gonk fans, and those who appreciate handcrafted décor.

📏 Size & Details:

Approx. 4 cm diameter
Two-sided design (gonk & landscape with flowers)
Finished with natural beeswax
Twine hanger attached for easy display

🚚 Shipping & Packaging:
Wrapped with care using eco-friendly materials as much as possible and shipped free using Tracked 48.
🛒 One available – once it’s gone, it’s gone!",5.95,GBP,1,"gnome_lover_gift,Mothers_Day_Gift,Wood_Slice_Ornament,Rustic_Decor,Sustainable_Craft,Eco_friendly_Gift,Gnome_Art,Cute_ornament,wooden_ornament,Mothers_Day_Ornament,Spring_Ornament,Gnome_Ornament,nature_lover_gift",,https://i.etsystatic.com/54896591/r/il/a9551f/6957698806/il_fullxfull.6957698806_57u5.jpg,https://i.etsystatic.com/54896591/r/il/7fdde8/6957698904/il_fullxfull.6957698904_ious.jpg,,,,,,,,,,,,,,,BB-PWS-006
"Large Rustic Tealight Holder with Fairy Lights | Rustic Wooden Centrepiece |  Rustic Earthy Decor by Bough & Burrow","Bring a warm, woodland glow to your home with this handcrafted seven-tealight KyndaLoglight — a unique log candle holder that doubles as a rustic wall sconce. Made from foraged UK hazel wood and hand-finished with organic danish oil and beeswax, this piece radiates natural character and raw charm. Carefully hollowed and hand carved recesses cradle the tealights while discreet fairy lights add a gentle ambient shimmer, especially when wall-mounted. The hollows are part filled with epoxy resin and adorned with gold and silver leaf flakes.

Whether used as a cosy table centrepiece or hung as an inviting wall feature, this piece brings the quiet magic of the forest indoors. Sustainably made, no trees were harmed — only windfallen or pruned wood is used.

Each piece includes tealights, batteries and ships free via Tracked 48 in plastic-free, recycled packaging — ready to gift or light the moment it arrives.

Product Details:
- Size: Approx. 56cm x 25cm x 10cm (approx) 
- Material: Locally foraged hazel, finished with danish oil & beeswax
- Tealights: Includes 7 unscented tealights
- Mounting: D-Ring on the back for easy hanging
- Finish: hand-finished with natural beeswax
- Packaging: Recycled and reused materials wherever possible
- Shipping: Free UK delivery via Royal Mail Tracked 48
- Safety Note: Never leave candles unattended

Why Bough & Burrow:
Crafted from found and foraged wood — no felling involved
Inspired by natural forms
Celebrates the raw beauty and mystery of hazel wood
Each piece is completely unique, made in a small UK workshop",85.95,GBP,1,"rustic_wood_decor,beeswax_wood_finish,eco_home_decor,organic_wood_craft,woodland_table_decor,earth_toned_decor,uk_artisan_shop,wood_tealight_holder,rustic_wall_decor,tealight_holder,rustic_wall_sconce",,https://i.etsystatic.com/54896591/r/il/b44693/7002877495/il_fullxfull.7002877495_hcyf.jpg,https://i.etsystatic.com/54896591/r/il/c1af29/7002879083/il_fullxfull.7002879083_5nao.jpg,https://i.etsystatic.com/54896591/r/il/1608a6/6954904678/il_fullxfull.6954904678_5jsv.jpg,https://i.etsystatic.com/54896591/r/il/0b5108/7002879081/il_fullxfull.7002879081_ji3x.jpg,https://i.etsystatic.com/54896591/r/il/f12e71/7002904361/il_fullxfull.7002904361_ai05.jpg,https://i.etsystatic.com/54896591/r/il/bb6d36/6954929836/il_fullxfull.6954929836_k9rz.jpg,https://i.etsystatic.com/54896591/r/il/6d9175/6954929770/il_fullxfull.6954929770_hoxe.jpg,https://i.etsystatic.com/54896591/r/il/c3922b/6954930030/il_fullxfull.6954930030_964e.jpg,,,,,,,,,BB-TLH-010
"Wood Slice Art Spring Gonk / Gnome & Flowers Wooden Keepsake with Whimsical Landscape | Handcrafted Pyrography Art","Two designs in one! This cute hand-burned wooden ornament features a gentle Scandinavian gnome (gonk) reaching up to smell it's favourite flower on one side, a whimsical landscape with starry sky, shooting star and Glastonbury Tor framed by trees on the other. 

🌳 Made from locally foraged, reclaimed wood, carefully sketched, hand-burned and lightly hand-painted before being finished with natural beeswax. This wooden ornament is as eco-friendly as it is beautiful.

🧙 Gonk Folklore – Inspired by Scandinavian and Nordic traditions, gonks are said to be mischievous but kind-hearted creatures who bring protection and good fortune to homes. Often linked to woodland spirits and the changing seasons, they make perfect companions for nature lovers.

🎁 Perfect for gifting – Whether for a Mother’s Day gift, birthdays, or a special keepsake for a loved one, this piece makes a meaningful, sustainable gift. Ideal for nature lovers, gnome fans, and those who appreciate handcrafted décor.

📏 Size & Details:
Approx. 4 cm diameter
Two-sided design (gonk & landscape with flowers)
Finished with natural beeswax
Twine hanger attached for easy display

🚚 Shipping & Packaging:
Wrapped with care using eco-friendly materials. Free shipping using Tracked 48. 

🛒 One available – once it’s gone, it’s gone!",9.95,GBP,1,"gnome_lover_gift,Wood_Slice_Ornament,Rustic_Decor,Eco_friendly_Gift,Gnome_Art,Cute_ornament,wooden_ornament,Spring_Ornament,Gnome_Ornament,nature_lover_gift,wood_slice_art,Wood_Slice_Keepsake,log_slice_art",,https://i.etsystatic.com/54896591/r/il/ba587e/6648025430/il_fullxfull.6648025430_95uf.jpg,https://i.etsystatic.com/54896591/r/il/6dc9e6/6696062489/il_fullxfull.6696062489_c7q2.jpg,https://i.etsystatic.com/54896591/r/il/81dfc3/6696062481/il_fullxfull.6696062481_4op9.jpg,https://i.etsystatic.com/54896591/r/il/fc904b/6648025384/il_fullxfull.6648025384_pyyc.jpg,,,,,,,,,,,,,BB-PWS-003
"Whimsical Wooden Ornament Spring Flowers Landscape Ideal Mother's Day Gift | Handcrafted Pyrography Art","This cute & whimsical hand-burned wooden ornament features a simple landscape with yellow flowers and a cute little bee. The reverse side has been left blank for possible personalisation. 

🌳 Made from locally foraged, reclaimed wood, carefully sketched, hand-burned and lightly hand-painted before being finished with natural beeswax. This wooden ornament is as eco-friendly as it is beautiful.

🎁 Perfect for gifting – Whether for Mother’s Day, birthdays, or a special keepsake for a loved one, this piece makes a meaningful, sustainable gift. Ideal for nature lovers and those who appreciate handcrafted décor.

📏 Size & Details:
Approx. 4 cm diameter
Single-sided design (landscape with flowers)
Finished with natural beeswax
Twine hanger attached for easy display

🚚 Shipping & Packaging:
Wrapped with care using eco-friendly materials. Free shipping using Tracked 48. 

🛒 One available – once it’s gone, it’s gone!",5.95,GBP,1,"Mothers_Day_Gift,Wood_Slice_Ornament,Rustic_Decor,Sustainable_Craft,Eco_friendly_Gift,Cute_ornament,wooden_ornament,Mothers_Day_Ornament,Spring_Ornament,nature_lover_gift,Whimsical_Decor,Whimsical_Gift",,https://i.etsystatic.com/54896591/r/il/e6328a/6696177401/il_fullxfull.6696177401_axsd.jpg,https://i.etsystatic.com/54896591/r/il/5cd3c1/6648141552/il_fullxfull.6648141552_9hcu.jpg,https://i.etsystatic.com/54896591/r/il/6c431a/6648140660/il_fullxfull.6648140660_pm83.jpg,,,,,,,,,,,,,,BB-PWS-004
"Woodland Gonk with Heart – Hand-Burned Crescent Shaped Hazel Wood Slice Art","✨ One of a Kind | Sustainably Sourced | FREE UK Tracked Shipping

This crescent-shaped slice showcases a highly detailed hand-burned scene featuring a gonk in a woodland setting, complete with hand-coloured elements, including delicate flowers and a bright red toadstool. The full moon above adds to the mystical charm, making it a perfect piece for any nature or folklore lover.

🌳 Sustainable & Handcrafted
Material: Hazel wood, ethically sourced from a storm-fallen tree a short walk from the studio.
Size: Approx. 7cm x 11cm
Process: Hand-sanded to a smooth, tactile finish, hand-sketched & pyrographed, and lightly coloured with non-toxic acrylic pens (currently exploring more eco-conscious alternatives)
Finish: Sealed with natural beeswax for a soft sheen and added durability
Each piece is completely unique – no two are ever the same!

🌙 Folklore & Inspiration
Gonks, rooted in Nordic and Scandinavian mythology, are believed to bring luck and protection. These bearded guardians are said to watch over homes and nature, keeping mischievous spirits at bay.

🎁 A Perfect Gift
Ideal for nature lovers, folklore fans, and rustic home décor enthusiasts. Perfect for Mother’s Day, Valentine’s, or a unique birthday gift.

📦 FREE UK shipping – Royal Mail Tracked 48
🛒 One available – once it’s gone, it’s gone!",15.95,GBP,1,"HandmadeGift,RusticDecor,GnomeArt,MothersDayGift,PyrographyArt,SustainableCraft,Gonk,WoodBurning,EcoFriendlyGift",,https://i.etsystatic.com/54896591/r/il/b045e7/6669143491/il_fullxfull.6669143491_sztl.jpg,https://i.etsystatic.com/54896591/r/il/0439e4/6669143479/il_fullxfull.6669143479_geoa.jpg,https://i.etsystatic.com/54896591/r/il/3e1b55/6621052908/il_fullxfull.6621052908_t854.jpg,https://i.etsystatic.com/54896591/r/il/195930/6669143481/il_fullxfull.6669143481_j6ud.jpg,https://i.etsystatic.com/54896591/r/il/98f843/6669143521/il_fullxfull.6669143521_983a.jpg,https://i.etsystatic.com/54896591/r/il/750911/6621052950/il_fullxfull.6621052950_iqla.jpg,https://i.etsystatic.com/54896591/r/il/6bbdc1/6621052876/il_fullxfull.6621052876_aol5.jpg,,,,,,,,,,BB-PWS-005
"Wood slice Art, Spring Gonk / Gnome & Flowers Wooden Keepsake with Moonlit Landscape | Pyrography","Two designs in one! This hand-burned wooden ornament features a charming Scandinavian gnome (gonk) holding flowers on one side and a serene moonlit landscape on the other. A perfect balance of whimsy and nature, created with love from reclaimed wood.

🌳 Made from locally foraged, reclaimed wood, carefully sketched, hand-burned and lightly hand-painted before being finished with natural beeswax. This wooden ornament is as eco-friendly as it is beautiful.

🧙 Gonk Folklore – Inspired by Scandinavian and Nordic traditions, gonks are said to be mischievous but kind-hearted creatures who bring protection and good fortune to homes. Often linked to woodland spirits and the changing seasons, they make perfect companions for nature lovers.

🎁 Perfect for gifting – Whether for a Mother’s Day gift, birthdays, or a special keepsake for a loved one, this piece makes a meaningful, sustainable gift. Ideal for nature lovers, gnome fans, and those who appreciate handcrafted décor.

📏 Size & Details:
Approx. 4 cm diameter
Two-sided design (gonk & landscape)
Finished with natural beeswax
Twine hanger attached for easy display

🚚 Shipping & Packaging:
Wrapped with care using eco-friendly materials. Free shipping using Tracked 48

🛒 One available – once it’s gone, it’s gone!",9.95,GBP,1,"Gnome_Lovers_Gift,Wooden_ornament,Gnome_ornament,Whimsical_ornament,Sustainable_gift,Spring_ornament,Handmade_ornament,Rustic_decor,Eco_friendly_gift,nature_lovers_gift,wood_slice_ornament,wood_slice_art,wood_slice_keepsake",,https://i.etsystatic.com/54896591/r/il/a7cf8e/6664064311/il_fullxfull.6664064311_hlwh.jpg,https://i.etsystatic.com/54896591/r/il/c730ea/6664064295/il_fullxfull.6664064295_bdka.jpg,https://i.etsystatic.com/54896591/r/il/da51bf/6615975496/il_fullxfull.6615975496_c83j.jpg,https://i.etsystatic.com/54896591/r/il/5a578f/6664064309/il_fullxfull.6664064309_fuaj.jpg,https://i.etsystatic.com/54896591/r/il/8d3723/6664064313/il_fullxfull.6664064313_1gh1.jpg,https://i.etsystatic.com/54896591/r/il/65aafd/6615975492/il_fullxfull.6615975492_3p4v.jpg,https://i.etsystatic.com/54896591/r/il/f274be/6615976312/il_fullxfull.6615976312_bcw2.jpg,,,,,,,,,,BB-PWS-001
"Medium Rustic Decor Wood Slice Heart with Lights & Pyrography","✨ Product Description:
Handcrafted from sustainably foraged wood (hazel, cherry, oak, ash, beech and others), this medium-sized wood slice heart brings a warm, nature-inspired feel to any space. A delicate arrangement of wood slices, fairy lights, and pyrography makes it a unique and meaningful gift for loved ones.

🌳 Reclaimed History & Timeless Beauty
The backboard is made from a 30-year-old reclaimed garden gate, originally built from even older salvaged timber. This means the wood could be up to 40 years old, making it full of history and character.

🧙‍♂️ Gonk Folklore – A Symbol of Luck & Protection
This design features a hand-burned pyrography gonk holding a bunch of oversized flowers—symbolizing kindness and appreciation. In Scandinavian and Nordic traditions, gonks bring good fortune and protect against bad luck, making them a perfect addition to your home or a thoughtful gift.

🎁 A Unique Gift Idea For:

Mother’s Day – A gonk offering flowers 💐
Valentine’s Day or Anniversary – Symbol of love ❤️
Rustic home décor lovers – Cozy & cottagecore aesthetic 🏡
Eco-conscious shoppers – Made from reclaimed and sustainably sourced wood 🌍

📏 Dimensions: Approx. 40cm x 35cm
💡 Features: Battery-powered fairy lights, pyrography detailing, and a unique hand-crafted design.
🔗 Hanging: Brass screw eyes and picture wire for easy wall mounting.
🔋 Power: Small battery pack (hidden on the back) with a simple on/off switch.

📦 Sustainable & Plastic-Free Packaging – We use recycled and biodegradable materials.",51.95,GBP,1,"Rustic_Wood_Heart,Fairy_Light_Art,Pyrography_Decor,Eco_Wall_Art,Reclaimed_Wood_Art,Nature_Wall_Decor,Sustainable_Gifts,Rustic_Wall_Art,Hygge_Lighting,Valentines_Gift_Idea,Mothers_Day_Gift,Wedding_Gift_Idea",,https://i.etsystatic.com/54896591/r/il/81f470/6613297816/il_fullxfull.6613297816_rgxi.jpg,https://i.etsystatic.com/54896591/r/il/e2c527/6661327371/il_fullxfull.6661327371_heoo.jpg,https://i.etsystatic.com/54896591/r/il/3d560c/6613281928/il_fullxfull.6613281928_dxzl.jpg,https://i.etsystatic.com/54896591/r/il/f6f374/6613281190/il_fullxfull.6613281190_t4pk.jpg,https://i.etsystatic.com/54896591/r/il/ab18aa/6613300516/il_fullxfull.6613300516_6l4t.jpg,https://i.etsystatic.com/54896591/r/il/498476/6661379635/il_fullxfull.6661379635_1a81.jpg,https://i.etsystatic.com/54896591/r/il/844192/6613286024/il_fullxfull.6613286024_7zdq.jpg,https://i.etsystatic.com/54896591/r/il/6b8f7a/6615016758/il_fullxfull.6615016758_r7hr.jpg,https://i.etsystatic.com/54896591/r/il/af351b/6615012138/il_fullxfull.6615012138_piaa.jpg,https://i.etsystatic.com/54896591/r/il/1402d1/6613283902/il_fullxfull.6613283902_lky8.jpg,,,,,,,BB-WSM-005
"Mother's Day Gnome & Flowers Wooden Ornament with Landscape with Flowers | Handcrafted Pyrography Art","Two designs in one! This hand-burned wooden ornament features a gentle Scandinavian gnome / gonk holding a bouquet of yellow flowers on one side and a delicate landscape with small flowers on the other. Crafted by hand using sustainable, reclaimed wood.

🌳 Made from locally foraged, reclaimed wood, carefully sketched, hand-burned and lightly hand-painted before being finished with natural beeswax. This wooden ornament is as eco-friendly as it is beautiful.

🧙 Gonk Folklore – Inspired by Scandinavian and Nordic traditions, gonks are said to be mischievous but kind-hearted creatures who bring protection and good fortune to homes. Often linked to woodland spirits and the changing seasons, they make perfect companions for nature lovers.

🎁 Perfect for gifting – Whether for Mother’s Day, birthdays, or a special keepsake for a loved one, this piece makes a meaningful, sustainable gift. Ideal for nature lovers, gnome fans, and those who appreciate handcrafted décor.

📏 Size & Details:

Approx. 4 cm diameter
Two-sided design (gonk & landscape with flowers)
Finished with natural beeswax
Twine hanger attached for easy display
🚚 Shipping & Packaging:
Wrapped with care using eco-friendly materials.

🛒 One available – once it’s gone, it’s gone!",9.95,GBP,1,"gnome_lover_gift,Mothers_Day_Gift,Wood_Slice_Ornament,Rustic_Decor,Sustainable_Craft,Eco_friendly_Gift,Gnome_Art,Cute_ornament,wooden_ornament,Mothers_Day_Ornament,Spring_Ornament,Gnome_Ornament,nature_lover_gift",,https://i.etsystatic.com/54896591/r/il/608496/6664152669/il_fullxfull.6664152669_ozoy.jpg,https://i.etsystatic.com/54896591/r/il/317369/6664149267/il_fullxfull.6664149267_l9kc.jpg,https://i.etsystatic.com/54896591/r/il/bdf1af/6616060362/il_fullxfull.6616060362_m5i5.jpg,https://i.etsystatic.com/54896591/r/il/0121fd/6664149263/il_fullxfull.6664149263_dq2d.jpg,https://i.etsystatic.com/54896591/r/il/e6448b/6616060320/il_fullxfull.6616060320_9hht.jpg,,,,,,,,,,,,BB-PWS-002
"Wooden Wall Art wood decor featuring Heart Design and Pyrography Gonk & Flowers Detail, Rustic Wall Art, Wood Decor, Mother's Day Gift","Bring warmth and rustic charm into your home with this handcrafted wooden wall art, featuring a pyrography gonk/gnome/tomte holding a bunch of wildflowers. Created from a selection of sustainably sourced logs—hazel, cherry, field maple, oak, alder, beech, and ash—each slice has been individually cut and arranged to form a stunning heart design, mounted on a reclaimed wood backboard for a truly eco-friendly decor piece. The addition of warm white fairy lights enhances its natural beauty, making it a magical and cosy addition to any space.

Perfect for those who love rustic wall art, wooden wall decor, and nature-inspired interiors, this unique piece makes a wonderful Mother’s Day gift, cottagecore decoration, or sustainable gift for someone special.

🌳 Reclaimed Wood with a Story
This reclaimed wood art carries decades of history. The backboard is made from a 30-year-old garden gate, itself crafted from reclaimed timber that was already 5–10 years old when first used. This means the wood could be 40+ years old, adding rich character, texture, and depth to the piece.

🧙‍♂️ Gonk Folklore – Guardians of Home & Hearth
Rooted in Scandinavian and Nordic folklore, gonks are believed to bring good luck to families and protect homes from misfortune. Often compared to gnomes or tomte, these small, bearded figures sneak into homes to stay warm in winter but retreat to the woodlands when the weather turns mild. Treat them well, and they bring fortune—mistreat them, and expect a little mischief!

Whether you believe in their magical origins or simply love their cosy charm, this wood slice wall art featuring a gonk pyrography design brings both whimsy and tradition into your home.

🎁 A Perfect Gift For:
✔ Mother’s Day – A heartfelt present for mums who love rustic decor 🌸
✔ Cottagecore & Nature Lovers – A perfect eco wall art addition 🏡
✔ Rustic & Wooden Wall Decor Enthusiasts – A handcrafted touch for any home 🪵
✔ Sustainable Gift Seekers – Handmade with locally sourced & reclaimed materials 🌍

📏 Dimensions: Approx. 30.5cm x 27cm
💡 Features: Battery-powered fairy lights (warm white), pyrography detailing, and a unique hand-crafted design.
🔗 Hanging: Brass screw eyes and picture wire for easy wall mounting.
🔋 Power: Small battery pack (hidden on the back) with a simple on/off switch.

📦 Free UK Delivery & Eco-Friendly Packaging 🌿
✔ FREE UK standard shipping (Royal Mail Tracked 48)
✔ Sustainably packaged – plastic-free & eco-conscious",43.95,GBP,1,"rustic_wood_heart,pyrography_decor,eco_wall_art,nature_wall_decor,sustainable_gifts,rustic_wall_art,mothers_day_gift,wooden_wall_art,wood_decor,natural_wall_art,log_slice_wall_art,cottagecore_decor,rustic_decor",,https://i.etsystatic.com/54896591/r/il/9c956c/6613484438/il_fullxfull.6613484438_le3e.jpg,https://i.etsystatic.com/54896591/r/il/e8242e/6613451364/il_fullxfull.6613451364_at4y.jpg,https://i.etsystatic.com/54896591/r/il/0109e4/6661544429/il_fullxfull.6661544429_sqgx.jpg,https://i.etsystatic.com/54896591/r/il/26ea39/6661545347/il_fullxfull.6661545347_eaq4.jpg,https://i.etsystatic.com/54896591/r/il/5aba22/6613453118/il_fullxfull.6613453118_kohe.jpg,https://i.etsystatic.com/54896591/r/il/8026b1/6613453462/il_fullxfull.6613453462_e4qq.jpg,https://i.etsystatic.com/54896591/r/il/ef9688/6613453940/il_fullxfull.6613453940_hnf1.jpg,https://i.etsystatic.com/54896591/r/il/7a19e1/6663115787/il_fullxfull.6663115787_8bmz.jpg,https://i.etsystatic.com/54896591/r/il/73e337/6615023040/il_fullxfull.6615023040_fett.jpg,https://i.etsystatic.com/54896591/r/il/65e49d/6661544815/il_fullxfull.6661544815_lh6t.jpg,,,,,,,BB-WSM-004
